ticker,scan_date,c,gap,gap_pct,pm_high_pct,pm_vol,prev_close,prev_high,o,h,l,month
SBEV,2025-04-16,4.3,1.1700000000000004,41.489361702127674,69.50354609929079,43975669.0,2.82,2.9,3.99,4.78,3.13,2025-04
QURE,2025-04-17,13.0,3.615,38.498402555910545,50.798722044728414,14456116.0,9.39,9.55,13.005,14.16,12.54,2025-04
UPXI,2025-04-21,9.89,7.945,346.1873638344227,858.6056644880175,100378056.0,2.295,2.42,10.24,22.0,9.0201,2025-04
SHFS,2025-04-21,4.19,1.63,73.09417040358744,94.16591928251124,43497128.0,2.23,2.2302,3.86,4.3299,3.53,2025-04
GELS,2025-04-22,2.88,2.94,326.6666666666667,356.66666666666674,89799656.0,0.9,0.9499,3.84,4.11,2.3836,2025-04
TIVC,2025-04-22,7.13,8.07,230.57142857142856,278.0,35371156.0,3.5,3.56,11.57,13.23,6.61,2025-04
WNW,2025-04-22,2.45,0.7899999999999998,63.709677419354826,137.90322580645164,122929254.0,1.24,1.35,2.03,2.95,1.91,2025-04
OBLG,2025-04-22,3.54,1.8199999999999998,85.04672897196261,105.60747663551405,21111063.0,2.14,2.1899,3.96,4.4,2.4,2025-04
ENSC,2025-04-23,3.67,2.3600000000000003,126.20320855614975,159.35828877005343,92054275.0,1.87,1.9,4.23,4.85,3.26,2025-04
AGMH,2025-04-23,2.9,1.835,122.33333333333334,158.0,14677406.34,1.5,1.725,3.335,3.87,2.63,2025-04
SNOA,2025-04-23,3.95,1.7699999999999996,75.96566523605148,80.25751072961373,58903247.0,2.33,2.73,4.1,4.2,3.52,2025-04
CNEY,2025-04-24,3.4775,1.7299999999999995,54.44531864673484,59.32336742722264,6385317.88,3.1775,3.33,4.9075,5.0625,3.35,2025-04
OMEX,2025-04-25,1.51,0.7179000000000001,84.25067480342683,111.24281187654033,285654380.0,0.8521,1.13,1.57,1.8,1.28,2025-04
AGMH,2025-04-25,2.43,1.0599999999999998,54.35897435897436,74.35897435897436,6818239.48,1.95,2.2315,3.01,3.4,2.2,2025-04
RETO,2025-04-25,3.88,1.9469999999999996,54.038301415487076,60.14432417429918,7056614.0,3.603,3.85,5.55,5.77,3.26,2025-04
