ticker,date,entry_price,exit_price,shares,pnl_per_share,total_pnl,exit_reason,stop_loss,fade_50,fade_70,fade_85,prev_close,gap_pct,pm_high_pct,day_high,day_low,day_close
ZEO,2024-09-19,2.76,2.6,138,0.1599999999999997,22.07999999999996,eod_close,4.2,1.9499999999999997,1.626,1.3829999999999998,1.14,142.10526315789474,250.87719298245617,4.0,2.2101,2.6
XCUR,2024-09-19,5.64,3.965,303,1.6749999999999998,507.5249999999999,fade_50,6.300000000000001,3.965,3.295,2.7925,2.29,146.28820960698687,162.00873362445412,6.0,3.4601,3.93
RZLV,2024-09-19,8.13,5.764,63,2.3660000000000005,149.05800000000002,fade_70,11.298,6.44,5.764,5.257,4.75,71.15789473684212,126.52631578947368,10.76,5.62,7.0
SGN,2024-09-19,19.2,25.44,10,-6.240000000000002,-62.40000000000002,eod_close,38.5308,12.717600000000001,10.12464,8.17992,6.2352,207.9291762894534,488.52963818321786,36.696,16.5168,25.44
TBIO,2024-09-19,4.13,2.745,154,1.3849999999999998,213.28999999999996,fade_50,5.4285000000000005,2.745,2.191,1.7755,1.36,203.67647058823525,280.1470588235294,5.17,2.34,2.93
XPON,2024-09-20,12.99,9.405000000000001,18,3.584999999999999,64.52999999999999,fade_50,23.950499999999998,9.405000000000001,7.971,6.8955,5.82,123.19587628865978,291.9243986254295,22.81,8.0,8.48
BNZI,2024-09-20,51.0,56.9,7,-5.899999999999999,-41.29999999999999,eod_close,78.75,39.9,35.46,32.13,28.8,77.08333333333333,160.41666666666666,75.0,47.1,56.9
LFLY,2024-09-20,3.43,2.282,607,1.1480000000000001,696.8360000000001,fade_70,3.7590000000000003,2.6100000000000003,2.282,2.036,1.79,91.62011173184358,100.0,3.58,2.14,2.32
NVVE,2024-09-23,7.15,6.68,97,0.47000000000000064,45.59000000000006,eod_close,9.198,5.535,4.889,4.4045,3.92,82.39795918367349,123.46938775510203,8.76,5.57,6.68
SEEL,2024-09-24,6.36,4.7,68,1.6600000000000001,112.88000000000001,fade_50,9.30048,4.7,4.036,3.5380000000000003,3.04,109.2105263157895,191.3684210526316,8.8576,4.48,4.784
CAPR,2024-09-24,8.43,9.1,156,-0.6699999999999999,-104.51999999999998,eod_close,9.707145,7.199999999999999,6.708,6.3389999999999995,5.97,41.20603015075377,54.85594639865996,9.2449,7.4239,9.1
HSCS,2024-09-24,4.1,4.25,273,-0.15000000000000036,-40.950000000000095,eod_close,4.83,3.5199999999999996,3.288,3.114,2.94,39.45578231292516,56.4625850340136,4.6,3.69,4.25
TBIO,2024-09-26,4.86,3.59,421,1.2700000000000005,534.6700000000002,fade_50,5.3340000000000005,3.59,3.082,2.701,2.32,109.48275862068968,118.96551724137932,5.08,3.12,3.99
KTTA,2024-09-26,7.09,5.4675,254,1.6224999999999996,412.1149999999999,fade_50,7.875,5.4675,4.8185,4.33175,3.845,84.39531859557866,95.05851755526658,7.5,5.3501,5.85
DUO,2024-09-26,11.84,17.12,16,-5.280000000000001,-84.48000000000002,eod_close,24.024,9.92,9.152,8.576,8.0,48.0,186.0,22.88,10.88,17.12
KXIN,2024-09-30,12.6,11.724,33,0.8759999999999994,28.90799999999998,eod_close,18.585,9.0,7.5600000000000005,6.48,5.4,133.33333333333331,227.77777777777771,17.7,10.902,11.724
