ticker,v,vw,o,c,h,l,t,n,date,v_prev,vw_prev,o_prev,c_prev,h_prev,l_prev,t_prev,n_prev,date_prev,pm_high,pm_vol,prev_close,prev_high,gap,prev_volume,trig_day,prev_close_1,d2,scan_date,valid_last_close,valid_ema200,valid_ema_ratio,valid_market_cap,valid_hist_days,gap_pct,pm_high_pct,open_prev_high_pct
PHIO,281979243.0,6.4929,4.16,6.6,9.79,4.11,1736802000000,1568961.0,2025-01-13,51466.0,1.6529,1.69,1.69,1.7,1.61,1736542800000,238.0,2025-01-10,9.79,281979243.0,1.69,1.7,2.47,51466.0,1,,0,2025-01-13,1.69,4.456441028748138,0.3792263802208865,2.92777459,341,146.15384615384616,479.2899408284024,144.7058823529412
SLRX,8017357.6667,72.3,66.75,55.05,108.0,54.15,1736802000000,675966.0,2025-01-13,2562.5333,23.7675,24.45,23.475,24.45,23.25,1736542800000,175.0,2025-01-10,108.0,8017357.6667,23.475,24.45,43.275,2562.5333,1,,0,2025-01-13,23.475,36.708406439941754,0.6394992939398556,2.255410705,341,184.34504792332268,360.0638977635782,173.0061349693252
ATPC,84163203.0,2.2718,2.19,1.97,2.93,1.79,1736802000000,486658.0,2025-01-13,146275.0,1.1949,1.18,1.26,1.3,1.16,1736542800000,659.0,2025-01-10,2.93,84163203.0,1.26,1.3,0.9299999999999999,146275.0,1,,0,2025-01-13,1.26,4.647241407181798,0.27112858782261867,5.02621056,314,73.8095238095238,132.53968253968256,68.46153846153847
ERNA,38400207.0667,10.656,7.65,6.87,14.4,6.4862,1736888400000,654483.0,2025-01-14,15467.9333,4.5195,4.635,4.635,4.7295,4.3725,1736802000000,772.0,2025-01-13,14.4,38400207.0667,4.635,4.7295,3.0150000000000006,15467.9333,1,,0,2025-01-14,4.635,18.082671084093967,0.2563227511270212,15.874786317,340,65.04854368932041,210.67961165048547,61.750713606089455
NMHI,167181229.0,2.8089,2.75,1.53,3.8,1.43,1736888400000,847629.0,2025-01-14,735084.0,1.3151,1.73,1.13,1.73,1.12,1736802000000,3499.0,2025-01-13,3.8,167181229.0,1.13,1.73,1.62,735084.0,1,,0,2025-01-14,1.13,17.602952349946655,0.06419377713099497,3.4098744399999994,211,143.3628318584071,236.283185840708,58.95953757225434
FAMI,5696813.4167,4.9032,6.2412,3.5892,7.0728,3.3624,1736974800000,128585.0,2025-01-15,36488.5,3.7044,3.672,3.7656,3.8388,3.51,1736888400000,722.0,2025-01-14,7.0728,5696813.4167,3.7656,3.8388,2.4756,36488.5,1,,0,2025-01-15,3.7656,6.72167415363793,0.5602175758493094,3.3510554514,342,65.74251115360103,87.82664117272148,62.582056892779
VMAR,6713318.7,22.17,20.3,20.5,25.5,17.0,1736974800000,310939.0,2025-01-15,1078779.0,19.486,15.2,14.0,15.584,14.0,1736888400000,51285.0,2025-01-14,25.5,6713318.7,14.0,15.584,6.300000000000001,1078779.0,1,,0,2025-01-15,14.0,532.8182724165816,0.026275375160283845,3.9909645999999994,342,45.00000000000001,82.14285714285714,30.261806981519523
BMRA,49451075.125,7.1704,8.8,5.648,10.16,4.4984,1737061200000,609635.0,2025-01-16,46112.875,2.7512,2.56,2.8,2.96,2.56,1736974800000,622.0,2025-01-15,10.16,49451075.125,2.8,2.96,6.000000000000001,46112.875,1,,0,2025-01-16,2.8,3.757565773160777,0.745163270327722,5.8875760999999995,343,214.28571428571433,262.8571428571429,197.29729729729732
BLBX,237548077.0,4.0851,3.33,5.52,5.9999,2.68,1737579600000,995506.0,2025-01-22,50529.0,1.7229,1.82,1.69,1.82,1.61,1737493200000,253.0,2025-01-21,5.9999,237548077.0,1.69,1.82,1.6400000000000001,50529.0,1,,0,2025-01-22,1.69,2.52205582708547,0.6700882596849541,5.979284219999999,336,97.0414201183432,255.02366863905328,82.96703296703296
HEPA,10805859.44,10.64,9.595,10.0,15.84,7.8,1737666000000,347977.0,2025-01-23,831977.58,6.725,6.535,6.75,7.2,6.05,1737579600000,38590.0,2025-01-22,15.84,10805859.44,6.75,7.2,2.8450000000000006,831977.58,1,,0,2025-01-23,6.75,56.68846469683457,0.11907184355932846,0.939380085,343,42.14814814814816,134.66666666666666,33.26388888888889
