symbol,date,trend_atr,gap_atr,extension_atr,range_close_pct,volume_multiple,change_atr,fade_atr,days_since_high,trend_start,euphoric_high,fade_type,consecutive_reds,outlier_volume,outlier_range_atr,dev_band_upper_05,d0_open,d0_high,d_minus_1_avg_dollar_vol_20d,scanner_version,setup_grade
TQQQ,2025-01-06,4.78,0.82,1.71,84.5,1.06,1.21,3.65,18,2024-11-06,2024-12-16,multiple_red,3,1.74,3.71,85.35,84.97,86.85,3691.3,V11,B
TQQQ,2025-01-06,4.78,0.82,1.71,84.5,1.06,1.21,3.65,18,2024-11-06,2024-12-16,multiple_red,3,1.74,3.71,85.35,84.97,86.85,3691.3,V11,B
HOOD,2024-12-16,10.25,0.64,1.62,89.4,0.76,0.69,2.03,8,2024-11-06,2024-12-05,multiple_red,3,1.96,3.31,41.21,41.02,43.83,985.1,V11,B
SOFI,2024-11-18,19.07,0.46,1.96,89.4,0.74,0.63,2.21,4,2024-08-19,2024-11-11,multiple_red,2,0.86,2.44,13.57,13.8,14.3,768.2,V11,B
HOOD,2024-11-06,6.92,2.7,3.23,63.2,0.81,0.64,3.61,6,2024-09-12,2024-10-30,outlier_fade,0,2.78,3.35,27.38,27.73,30.06,415.8,V11,B
CVS,2024-11-06,5.68,3.78,4.39,99.0,0.88,0.42,7.55,22,2024-09-18,2024-10-14,outlier_fade,0,3.01,1.77,58.5,61.7,63.33,757.3,V11,B
AFRM,2024-10-09,7.78,0.77,1.6,77.3,1.42,1.12,3.01,19,2024-08-19,2024-09-19,multiple_red,3,,,41.88,42.9,43.83,390.1,V11,B
KWEB,2024-10-04,17.1,1.49,2.73,65.2,1.25,1.71,2.17,1,2024-09-19,2024-10-02,outlier_fade,0,2.97,2.33,35.79,38.23,38.45,1124.3,V11,B
UVXY,2024-09-04,17.58,0.47,2.89,83.0,1.97,2.68,15.58,29,2024-07-22,2024-08-05,multiple_red,5,2.48,6.61,26.71,29.43,30.36,336.8,V11,B
UVXY,2024-09-04,17.58,0.47,2.89,83.0,1.97,2.68,15.58,29,2024-07-22,2024-08-05,multiple_red,5,2.48,6.61,26.71,29.43,30.36,336.8,V11,B
MS,2024-08-15,5.25,0.72,1.74,62.7,1.4,1.44,5.11,29,2024-07-01,2024-07-16,multiple_red,3,2.4,3.47,98.87,100.8,101.2,722.1,V11,B
META,2024-08-07,5.12,0.71,1.91,64.6,1.15,1.44,3.82,29,2024-06-03,2024-07-08,multiple_red,3,1.32,2.32,495.39,503.13,510.15,8798.0,V11,B
META,2024-08-07,5.12,0.71,1.91,64.6,1.15,1.44,3.82,29,2024-06-03,2024-07-08,multiple_red,3,1.32,2.32,495.39,503.13,510.15,8798.0,V11,B
META,2024-08-07,5.12,0.71,1.91,64.6,1.15,1.44,3.82,29,2024-06-03,2024-07-08,multiple_red,3,1.32,2.32,495.39,503.13,510.15,8798.0,V11,B
PLTR,2024-08-06,6.67,2.84,5.59,89.7,1.91,0.63,5.58,18,2024-06-05,2024-07-18,multiple_red,5,1.12,2.11,27.1,27.05,27.42,1256.7,V11,B
META,2024-08-01,5.34,3.71,4.36,82.9,1.59,0.95,5.56,23,2024-06-03,2024-07-08,multiple_red,3,1.32,2.32,487.19,521.0,527.17,7469.1,V11,B
META,2024-08-01,5.34,3.71,4.36,82.9,1.59,0.95,5.56,23,2024-06-03,2024-07-08,multiple_red,3,1.32,2.32,487.19,521.0,527.17,7469.1,V11,B
META,2024-08-01,5.34,3.71,4.36,82.9,1.59,0.95,5.56,23,2024-06-03,2024-07-08,multiple_red,3,1.32,2.32,487.19,521.0,527.17,7469.1,V11,B
SOXL,2024-07-05,10.03,0.59,1.86,74.0,0.83,1.11,2.31,15,2024-05-10,2024-06-18,multiple_red,3,1.16,2.93,59.63,61.86,62.38,2769.5,V11,B
SOXL,2024-07-05,10.03,0.59,1.86,74.0,0.83,1.11,2.31,15,2024-05-10,2024-06-18,multiple_red,3,1.16,2.93,59.63,61.86,62.38,2769.5,V11,B
SOXL,2024-07-05,10.03,0.59,1.86,74.0,0.83,1.11,2.31,15,2024-05-10,2024-06-18,multiple_red,3,1.16,2.93,59.63,61.86,62.38,2769.5,V11,B
SOXL,2024-07-05,10.03,0.59,1.86,74.0,0.83,1.11,2.31,15,2024-05-10,2024-06-18,multiple_red,3,1.16,2.93,59.63,61.86,62.38,2769.5,V11,B
